Clave,Referencia,Criado por,Tipo de usuário,Detectado por,Fecha de detección,Activo,Espacios de trabajo,Tipo de amenaza,Status,Tratamiento,Tipo de evento,Fecha del evento,Resolución,Motivo de la resolución,Fecha de resolución,Colector,Búsqueda,Tiempo de resolución (minutos),Tags
ob32y1,https://sanantonio.tekra.com.gt/,,,Sistema de Seguimiento,01/03/2026 22:45:38,Cerveza Gallo,Fraudes Digitales,Phishing,Cerrado,Takedown,Resuelto,08/04/2026 12:07:04,Resuelto,Las menciones a su marca se han eliminado de la página o se han adaptado de acuerdo con sus directrices y/o legislación.,08/04/2026 12:07:04,Certificate Logs,,20132,
a671yk,https://apkpure.com/heineken-challenger/com.heinekenmexico.challengerculture,,,Sistema de Seguimiento,07/04/2026 20:56:48,Heineken,Fraudes Digitales,Aplicación móvil falsa,Cerrado,Takedown,Resuelto,05/05/2026 18:29:56,Resuelto,El contenido ha sido eliminado o la página ha sido desactivada,05/05/2026 18:29:56,SERP  - Search Engine Results Page,"(intitle:""Heineken"") OR (inurl:Heineken)",303,
qcbyzo,http://dalmante.site,,,Sistema de Seguimiento,04/05/2026 23:54:45,Del Monte,Fraudes Digitales,Phishing,Cerrado,Takedown,Resuelto,05/05/2026 16:05:05,Resuelto,Dominio inaccesible,05/05/2026 16:05:05,Certificate Logs,,21,
